Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
360	180393	ife-2	Initiation Factor 4E (eIF4E) family	Caenorhabditis elegans	Cel.766	R04A9.4			increase	RNAi resulted in a 10% maximum lifespan extension compared to wild-type.	anti	10		RNA interference	
361	176373	iff-1	Initiation Factor Five (eIF-5A) homologs	Caenorhabditis elegans	Cel.10082	T05G5.10			increase	RNA interference extended lifespan.	anti			RNA interference	
362	174322	ifg-1	Initiation Factor 4G (eIF4G) family	Caenorhabditis elegans	Cel.23043	M110.4			increase	RNA interference in adulthood resulted in a 55% mean lifespan extension.	anti		55	RNA interference	
362	174322	ifg-1	Initiation Factor 4G (eIF4G) family	Caenorhabditis elegans	Cel.23043	M110.4			increase	RNAi increased maximum lifespan by about 30%. Reducing the levels of eIF2B or eIF4G did not extend the lifespan of daf-16 mutants at all. eIF2B and eIF4G RNAi slightly shortened the lifespan of daf-2 mutants. sir-2.1 deletion mutant was subjected to sir-2.1(ok434), to RP, S6K, TOR or eIF RNAi; In each case, lifespan was extended.	anti	30		RNA interference	
362	174322	ifg-1	Initiation Factor 4G (eIF4G) family	Caenorhabditis elegans	Cel.23043	M110.4			increase	Post developmental RNAi resulted in a mean and maximum lifespan daf-16 dependent extension.	anti			RNA interference	
362	174322	ifg-1	Initiation Factor 4G (eIF4G) family	Caenorhabditis elegans	Cel.23043	M110.4			increase	Inhibition of ifg-1 during adulthood led to a 36% increase in maximum lifespan.  Inhibition of at least one eIF4E isoform and two of the three poly(A)-binding proteins also has a significant effect on lifespan extension. Inhibition of let-363 increased lifespan in both the N2 background and when ifg-1 was inhibited. In the daf-2 (e1370) mutant background, inhibition of either ifg-1 or rsks-1 further extended lifespan by 70% and 24%, respectively. Inhibition of either ifg-1 or rsks-1 extended lifespan by 27% and 14%, respectively, in a daf-16 (mu86 ) background.  Inhibition of either ifg-1 or rsks-1 in the clk-1(e2519) mutant background led to a further lifespan extension by 19% and 13%, respectively. Inhibition of either ifg-1 or rsks-1 extended lifespan in the eat-2 background by 54% and 11%, respectively. In a sir-2.1 mutant background, ifg-1 inhibition extended lifespan by 93% and rsks-1 inhibition by 33%.	anti	36		RNA interference	
362	174322	ifg-1	Initiation Factor 4G (eIF4G) family	Caenorhabditis elegans	Cel.23043	M110.4			increase	RNAi resulted in a 30% maximum lifespan extension compared to wild-type.	anti	30		RNA interference	
2119	181182	ifp-1	Intermediate filament protein ifp-1	Caenorhabditis elegans					increase	In a large scale screen downregulation of ifp-1 in worms increased mean lifespan by >5%. 	anti			RNA interference	
363	189055	ifta-2	IntraFlagellar Transport Associated	Caenorhabditis elegans	Cel.12265	T28F3.6			increase	Knockouts have an extended lifespan phenotype (40-50%) and are defective in dauer formation due to defects in daf-2 receptor signalling pathway in ciliatedsensory neurons. There was no additive effect of the ifta-2 mutation on the daf-2 longevity phenotype.	anti		50	Knockout	
384	172584	iftb-1	eIFTwoBeta (eIF2beta translation initiation factor)	Caenorhabditis elegans	Cel.18516	K04G2.1			increase	RNA interference in adulthood increased maximum lifespan by about 30%.	anti	30		RNA interference	
2226	184720	iglr-1	iglr-1	Caenorhabditis elegans					increase	Downregulation of iglr-1 in worms extended lifespan by 34% at 25 degrees celcius but not at 15 degrees celcius. Functional decline was delayed in the long-lived worms. 	anti		34	RNA interference	
2087	173001	impt-1	Protein IMPACT homolog	Caenorhabditis elegans					increase	Knockdown of impt-1 activated the integrated stress response, involved in helping cells adapt to conditions of nutrient shortage. RNAi treated worms lived 16% longer than the controls. Whole body reduction of impt-1 was required to achieve this effect. 	anti		16	RNA interference	
367	175966	inf-1	INitiation Factor	Caenorhabditis elegans	Cel.6803	F57B9.6			increase	RNA interference in adulthood resulted in a up to 46% mean lifespan extension.	anti		46	RNA interference	
367	175966	inf-1	INitiation Factor	Caenorhabditis elegans	Cel.6803	F57B9.6			decrease	Post developmental RNAi resulted in a 10% mean lifespan reduction.	pro		10	RNA interference	
367	175966	inf-1	INitiation Factor	Caenorhabditis elegans	Cel.6803	F57B9.6			increase	RNA interference of inf-1 results in an increased lifespan.	anti		21.4	RNA interference	
369	177936	ins-1	INSulin related	Caenorhabditis elegans	Cel.19650	F13B12.5			increase	Increased dosage increases lifespan by 25%.	pro		25	Overexpression	
370	172600	ins-18	INSulin related	Caenorhabditis elegans	Cel.19488	T28B8.2			increase	RNA interference extends lifespan.	anti			RNA interference	
371	191689	ins-21	INSulin related	Caenorhabditis elegans	Cel.28731	M04D8.1			increase	RNA interference extends lifespan.	anti			RNA interference	
372	191688	ins-7	INSulin related	Caenorhabditis elegans	Cel.35637	ZK1251.2			increase	RNA interference extends lifespan.	anti			RNA interference	
372	191688	ins-7	INSulin related	Caenorhabditis elegans	Cel.35637	ZK1251.2			increase	Post developmental RNAi resulted in a 12% mean lifespan extension.	anti		12	RNA interference	
374	172488	inx-14	INneXin	Caenorhabditis elegans	Cel.22679	F07A5.1			increase	RNA interference increases lifespan.	anti			RNA interference	
375	178101	inx-8	INneXin	Caenorhabditis elegans	Cel.12706	ZK792.2			increase	RNA interference increased mean lifespan by 19%.	anti		19	RNA interference	
376	191694	inx-9	INneXin	Caenorhabditis elegans	Cel.12705	ZK792.3			increase	RNA interference in adulthood resulted in a 28% mean lifespan extension.	anti		28	RNA interference	
376	191694	inx-9	INneXin	Caenorhabditis elegans	Cel.12705	ZK792.3			increase	RNAi resulted in a 21% mean lifespan extension.	anti		21	RNA interference	
948	174305	ire-1	IRE1 kinase related	Caenorhabditis elegans		C41C4.4			decrease	Average lifespan decreased by 20% compared to wild type.	pro		20	Mutation	
379	177609	isp-1	Iron-Sulfur Protein	Caenorhabditis elegans	Cel.8806	F42G8.12			increase	A missense mutation leads to low oxygen consumption, decreased sensitivity to reactive oxygen species, and increased mean (60%) and maximum (100%) lifespan.		100	60	Mutation	
379	177609	isp-1	Iron-Sulfur Protein	Caenorhabditis elegans	Cel.8806	F42G8.12			increase	Treating the respiratory mutant isp-1(qm150) with rps-15 or S6K/rsks-1 RNAi further extended its lifespan by 25-30%.	anti			RNA interference	
949	177546	itr-1	Inositol Triphosphate Receptor	Caenorhabditis elegans		F33D4.2			increase	Increased ITR-1 activity extends median and maximum lifespan (53% increase of median lifespan, 29% increase of maximum lifespan), whereas reduced ITR-1 activity shortens culture survival (i.e., -11% increase of median lifespan, -31% increase of maximum lifespan)	pro	29	53	Overexpression or mutations	
380	180810	jkk-1	JNK Kinase	Caenorhabditis elegans	Cel.7913	F35C8.3			decrease	May regulate daf-16. Mutations result in a shortened lifespan.	
2058	175080	jmjd-2	Lysine-specific demethylase 4	Caenorhabditis elegans	7096				increase	RNA inteference of jmjd-2 results in an incrased lifespan of up to 13%, depending on temperature.	anti		13	RNA interference	
381	177460	jnk-1	Jun N-terminal Kinase	Caenorhabditis elegans	Cel.18197	B0478.1			increase	Overexpression increases lifespan by 40%.	pro		40	Overexpression	
381	177460	jnk-1	Jun N-terminal Kinase	Caenorhabditis elegans	Cel.18197	B0478.1			decrease	Mutant worms have a 30% shortened maximal lifespan.	pro	30		Mutation	
383	186841	K01C8.7	Protein K01C8.7	Caenorhabditis elegans	Cel.14837	K01C8.7			increase	RNA interference extends lifespan by about 20%.	anti		20	RNA interference	
385	177624	K07H8.1	Protein K07H8.1	Caenorhabditis elegans	Cel.12664	K07H8.1			increase	RNA interference extends lifespan.	anti			RNA interference	
386	187128	K07H8.8	Protein K07H8.8	Caenorhabditis elegans	Cel.12659	K07H8.8			increase	RNA interference increased mean lifespan by 22%.	anti		22	RNA interference	
388	176814	K08E3.5	Protein K08E3.5	Caenorhabditis elegans	Cel.17583	K08E3.5			increase	RNA interference extends lifespan.	anti			RNA interference	
389	173397	K10B4.3	Protein K10B4.3	Caenorhabditis elegans	Cel.6710	K10B4.3			increase	RNA interference extends lifespan.	anti			RNA interference	
392	173349	K11B4.1	Protein K11B4.1	Caenorhabditis elegans	Cel.18463	K11B4.1			increase	RNA interference in adulthood resulted in a 16% mean lifespan extension.	anti		16	RNA interference	
393	178892	K11D12.9	Protein K11D12.9	Caenorhabditis elegans	Cel.3015	K11D12.9			decrease	RNA interference decreased median lifespan by 22% in daf-2 mutants.	pro			RNA interference	
394	187337	K12H4.5	Protein K12H4.5	Caenorhabditis elegans	Cel.18103	K12H4.5			increase	RNA interference increased mean lifespan by 58%.	anti		58	RNA interference	
950	174161	kat-1	3-Ketoacyl-coA Thiolase	Caenorhabditis elegans		T02G5.8			decrease	Increased accumulation of the lipofuscin-like fluorescent aging pigment, shortened median lifespan (30% reduction compared to WT). Early behavioral decline, and other abnormalities characteristic of premature aging were observed.	pro		30	Mutations	
1970	175404	klf-1	Kruppel-Like Factor (zinc finger protein)	Caenorhabditis elegans	10394				increase	Ectopic expression of klf-1 in worms, performed in a transgenic line carrying an intestine-specific construct and resulting in a modest level of overexpression, extends lifespan by approximately 15%. This effect is wwp-1 dependent.	pro		15	Overexpression	
907	177557	klo-1	hypothetical protein	Caenorhabditis elegans		C50F7.10			decrease	15% mean lifespan decrease, 20 maximal lifespan decrease	pro		15	RNA interference in adults	
916	184000	klo-2	hypothetical protein	Caenorhabditis elegans		E02H9.5			decrease	15% mean lifespan decrease, 20 maximal lifespan decrease	pro	20	15	RNA interference in adults	
396	191275	kri-1	human KRIT 1 (Krev interaction trapped/cerebral cavernous malformation 1) homolog	Caenorhabditis elegans	Cel.25055	ZK265.1			decrease	RNA interference suppressed glp-1 life-extension but did not shorten lifespan of wildtype strains.	pro			RNA interference	
2225	180883	kynu-1	kynu-1	Caenorhabditis elegans					increase	Downregulation of kynu-1 in worms extended lifespan by 38% at 25 degrees celcius and 31% at 15 degrees celcius. Functional decline was also delayed. Additionally, kynu-1 downregulation increased brood size at 25 degrees celcius and also slightly delayed paralysis in amyloid beta worms. 	anti		38	RNA interference	
951	189370	lagr-1	LAG1 (yeast Longevity-Assurance Gene) Related 	Caenorhabditis elegans		Y6B3B.10			decrease	RNAi caused 10% mean LS decrease	pro		10	RNA interference	
417	172499	lars-2	Leucyl Amino-acyl tRNA Synthetase	Caenorhabditis elegans	Cel.16138	ZK524.3			increase	A mutation that impaired mitochondrial function was associated with a longer lifespan.	anti			Mutation	
401	179161	lbp-4	Lipid Binding Protein	Caenorhabditis elegans	Cel.2989	ZK742.5			decrease	RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.	pro			RNA interference	
402	172390	lbp-6	Lipid Binding Protein	Caenorhabditis elegans	Cel.30369	W02D3.5			decrease	RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.	pro			RNA interference	
402	172390	lbp-6	Lipid Binding Protein	Caenorhabditis elegans	Cel.30369	W02D3.5			increase	Post developmental RNAi led to a 20% increase in mean lifespan.	anti		20	RNA interference	
403	191701	lbp-7	Lipid Binding Protein	Caenorhabditis elegans	Cel.2988	T22G5.2			increase	RNA interference resulted in life extension.	anti			RNA interference	
1882	188761	lbp-8	Lipid Binding Protein	Caenorhabditis elegans	.27782				increase	RNA interference (or mutation/deletion) of lbp-8 suppresses the lifespan extension in the lipl-4 transgenic model and does not affect the WT lifespan. Contrastly, constitutive transgenic expression of lbp-8 results in a 30% increase in mean lifespan compared to WT and improved maintenance of physical activity with age. 	pro	22	30	Overexpression	
404	178686	lbp-9	Lipid Binding Protein	Caenorhabditis elegans	Cel.6758	Y40B10A.1			decrease	RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.	pro			RNA interference	
405	181292	ldb-1	LIM domain Binding Protein	Caenorhabditis elegans	Cel.17941	F58A3.1			decrease	RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.	pro			RNA interference	
406	175058	lem-2	LEM domain protein	Caenorhabditis elegans	Cel.14238	W01G7.5			decrease	RNA interference resulted in a shortened lifespan.	pro			RNA interference	
953	174462	let-23	LEThal 	Caenorhabditis elegans		ZK1067.1			decrease	Let-23 mutants (reduction-of-function) survive less robustly in middle adulthood than matched wild type controls (19% decrease of median lifespan, 8% decrease of maximum lifespan)	pro	8	19	Mutation	
953	174462	let-23	LEThal 	Caenorhabditis elegans		ZK1067.1			increase	Let-23 mutants (gain-of-function) survive more robustly in middle adulthood (29% increase of median lifespan, 9% increase of maximum lifespan. 	pro	9	29	Mutation	
32	172167	let-363	LEThal	Caenorhabditis elegans		B0261.2	TOR_CAEEL		increase	RNA interference extends lifespan by about 150%.	anti		150	RNA interference	
1906	178970	let-418	Protein let-418	Caenorhabditis elegans	.16862				increase	LET-418 worm mutants (loss-of-function mutation) display an increased lifespan and stress resistance to stress in a daf-16-dependent manner.	anti		25	Mutation	
954	172088	let-502	LEThal	Caenorhabditis elegans		C10H11.9			decrease	RNAi led to 30% decrease in mean lifespan	pro		30	RNA interference post development	
407	178104	let-60	LEThal	Caenorhabditis elegans	Cel.19758	ZK792.6			increase	Activating mutations weakly suppress constitutive dauer diapause in daf-2 and age-1 mutants and extend lifespan induced by mutation of daf-2.				RNA interference	
1941	172153	let-630	hypothetical protein	Caenorhabditis elegans	.11551				increase	RNA interference of Y110A7A.19 extends mean lifespan (by 17.9%) compared to wild-type worms.	anti		17.9	RNA interference	
408	178120	let-653	LEThal	Caenorhabditis elegans	Cel.17069	C29E6.1			decrease	RNA interference decreased median lifespan by 13% in wild type animals and 32% in daf-2 mutants.	pro		13	RNA interference	
473	175934	let-765	LEThal	Caenorhabditis elegans	Cel.24957	F20H11.2			decrease	RNA interference decreased median lifespan by 27% in wild type animals, 38% in a daf-2 background and 22% in daf-2/daf-16 double mutants.	pro		27	RNA interference	
1940	179854	letm-1	LETM1 (Leucine zipper, EF-hand, TransMembrane mitochondrial protein) homolog	Caenorhabditis elegans	.17712				increase	RNA interference of letm-1 extends mean lifespan (by 21.1%) compared to wild-type worms.	anti		21.1	RNA interference	
955	174050	lgg-1	LC3, GABARAP and GATE-16 family	Caenorhabditis elegans		C32D5.9			decrease	43% mean LS reduction	pro		43	RNA interference	
955	174050	lgg-1	LC3, GABARAP and GATE-16 family	Caenorhabditis elegans		C32D5.9			decrease	12% maximal lifespan reduction compared to wild-type by RNAi from the beginning of life. Postdevelopmental RNAi caused a maximum lifespan reduction by 10% compared to wild-type.	pro	12		RNA interference	
1821	172893	lin-11	Protein LIN-11	Caenorhabditis elegans					decrease	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		9	RNA interference	
409	181337	lin-14	abnormal cell LINeage	Caenorhabditis elegans	Cel.663	T25C12.1			increase	A loss-of-function mutation in lin-14 extended lifespan by 31% while a gain-of-function mutation decreased lifespan. The life-extending effects were dependent on daf-16 and hsf-1. Also, lin-14 is a target of lin-4.	anti		31	Mutation	
956	181662	lin-15B	abnormal cell LINeage	Caenorhabditis elegans		ZK662.4			decrease	42% reduction in mean adult life span at 9.3 days at 25 C for unknown reasons.	pro		42	RNA interference post development	
410	181400	lin-2	abnormal cell LINeage	Caenorhabditis elegans	Cel.22759	F17E5.1			increase	RNA interference extends lifespan.	anti			RNA interference	
410	181400	lin-2	abnormal cell LINeage	Caenorhabditis elegans	Cel.22759	F17E5.1				lin-1 inhibits the growth of gld-1 tumors. Up to 30% reduction in mean lifespan in daf-2 and gld-1 double mutant background; no mean lifespan change in daf-2 mutants or wild-type background; no significant changes in the maximum lifespan in all backgrounds except daf-2 and gld-1 double mutant background (40% reduction).	pro			RNA interference	
411	174058	lin-23	abnormal cell LINeage	Caenorhabditis elegans	Cel.17632	K10B2.1			decrease	RNA interference shortened the extended lifespan of daf-2(mu150) mutants. Only a negligible or small reduction in the lifespan of wild-type worms was observed in knockouts.	pro			RNA interference	
2092	172626	lin-28	Protein lin-28	Caenorhabditis elegans					increase	When C. elegans were fed bacteria containing double-stranded lin-28 RNA from the L1 larval stage they showed a 20.3% increase in lifespan. When fed from the young adult stage they showed an 8.6% increase in lifespan instead.	anti		20	RNA interference	
957	178001	lin-3	abnormal cell LINeage	Caenorhabditis elegans		F36H1.4			decrease	The reduction-of-function EGF mutant lin-3(n1058) exhibits reduced swimming vigor in mid-adulthood and a shortened median lifespan	pro			Mutation	
412	266860	lin-4	abnormal cell LINeage	Caenorhabditis elegans						A loss-of-function mutation in lin-4 shortened lifespan and accelerated tissue ageing while overexpressing lin-4 extended lifespan.	pro			Mutation	
216	178788	lin-40	abnormal cell LINeage	Caenorhabditis elegans	Cel.36377	T27C4.4			decrease	RNA interference decreased median lifespan by 24% in wild type animals, 38% in a daf-2 background and 24% in daf-2/daf-16 double mutants.	pro		24	RNA interference	
216	178788	lin-40	abnormal cell LINeage	Caenorhabditis elegans	Cel.36377	T27C4.4			decrease	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		18	RNA interference	
216	178788	lin-40	abnormal cell LINeage	Caenorhabditis elegans	Cel.36377	T27C4.4			increase	Overexpressing egr-1 extends lifespan (17-25%) and confers resistance to multiple stresses, while decreasing egr-1 levels suppresses the long lifespan of insulin signaling and germline mutants.	pro		25	Overexpression	
1764	174267	lin-5	Protein LIN-5	Caenorhabditis elegans					increase	Post-developmental RNAi of lin-5 extends lifespan of wild type worms.	anti	8.7	16.4	Post-developmental RNA interference	
2146	171739	lin-65	hypothetical protein	Caenorhabditis elegans					decrease	Lin-65 downregulation in worms shortened median lifespan by 24%. Downregulation of lin-65 partially suppressed lifespan extension as a consequence of cco-1 downregulation.	pro		24	RNA interference	
2024	191704	lip-1	Lateral-signal-Induced Phosphatase	Caenorhabditis elegans	.20225				increase	RNA interference of lip-1 results in an increase in lifespan.	anti		8	RNA interference	
1881	179046	lipl-4	LIPase Like	Caenorhabditis elegans	.3151				increase	Constitutive transgenic expression of lipl-4 in the intestine results in a 55% mean lifespan increase compared to wild-type.	pro	25	55	Overexpression	
1881	179046	lipl-4	LIPase Like	Caenorhabditis elegans	.3151				increase	Constitutive expression of lipl-4 (K04A8.5) in the intestine extends worm mean lifespan by 24%.	pro		24	Overexpression	
414	172687	lmn-1	nuclear LaMiN	Caenorhabditis elegans	Cel.17828	DY3.2			decrease	Deletion resulted in a shortened lifespan.	pro			Deletion	
414	172687	lmn-1	nuclear LaMiN	Caenorhabditis elegans	Cel.17828	DY3.2			decrease	RNAi led to a 39% decrease in median lifespan in daf-2 background, 12% decrease in lifespan in daf-2/daf-16 double mutant background and 12% decrease in median lifespan in a wild-type background.	pro		12	RNA interference	
416	172037	lpd-5	LiPid Depleted	Caenorhabditis elegans	Cel.16118	ZK973.10			increase	RNA interference in adulthood resulted in a 17% mean lifespan extension.	anti		17	RNA interference	
1945	179477	lpd-9	LiPid Depleted	Caenorhabditis elegans	.2224				increase	RNA interference of lpd-9 extends mean lifespan (by 10.2%) compared to wild-type worms.	anti		10.2	RNA interference	
724	181297	lpr-5	Protein LPR-5	Caenorhabditis elegans	Cel.8133	W04G3.2			decrease	RNA interference decreased median lifespan by 16% in wild type animals, 72% in a daf-2 background and 29% in daf-2/daf-16 double mutants.	pro		16	RNA interference	
418	177988	lsm-7	LSM Sm-like protein	Caenorhabditis elegans	Cel.18150	ZK593.7			decrease	RNA interference decreased median lifespan by 24% in wild type animals, 27% in a daf-2 background and 9% in daf-2/daf-16 double mutants.	pro		24	RNA interference	
958	184622	lys-10	LYSozyme	Caenorhabditis elegans		F17E9.11			increase	Extended mean life span (10-20% in different backgrounds) when inactivated 	anti		20	RNA interference post development	
959	178087	lys-6	LYSozyme	Caenorhabditis elegans		F58B3.3			increase	13% mean lifespan extension	anti		13	RNA interference post development	
420	173944	lys-8	LYSozyme	Caenorhabditis elegans	Cel.22843	C17G10.5			decrease	lys-8 appears to inhibit the growth of gld-1 tumours. RNA interference reduced mean lifespan up to 29% in wild type animals, up to 19% in daf-2 mutants, and up to 15% in daf-2/gld-1 mutants. It also reduced maximum lifespan 12% in daf-2 mutants and 25% in daf-2/gld-1 mutants.	pro		29	RNA interference	
422	187451	M05B5.2	Protein M05B5.2	Caenorhabditis elegans	Cel.20722	M05B5.2			decrease	RNA interference decreased median lifespan by 45% in wild type animals, 46% in a daf-2 background and 44% in daf-2/daf-16 double mutants.	pro		45	RNA interference	
423	177113	M57.2	Protein M57.2	Caenorhabditis elegans	Cel.6678	M57.2			decrease	RNA interference decreased median lifespan by 20% in wild type animals and 40% in daf-2 mutants.	pro		20	RNA interference	
424	173073	mag-1	Drosophila MAGonashi homolog	Caenorhabditis elegans	Cel.155	R09B3.5			decrease	RNA interference decreased median lifespan by 15% in wild type animals and 35% in daf-2 mutants.	pro		15	RNA interference	
201	174181	maoc-1	MAO-C-like dehydratase domain	Caenorhabditis elegans	Cel.4898	E04F6.3			increase	RNA interference extended lifespan.	anti			RNA interference	
443	178089	mars-1	Methionyl tRNA Synthetase	Caenorhabditis elegans	Cel.16977	F58B3.5			increase	RNA interference increased mean lifespan by 23%.	anti		23	RNA interference	
425	179794	max-1	Motor AXon guidance	Caenorhabditis elegans	Cel.17901	C34B4.1			increase	RNA interference extended lifespan.	anti			RNA interference	
960	3565400	max-2	Motor AXon guidance	Caenorhabditis elegans		Y38F1A.10			increase	25% mean lifespan extension	anti		25	RNA interference	
34	181681	mboa-1	Protein MBOA-1	Caenorhabditis elegans	Cel.11524	B0395.2			decrease	RNA interference decreased median lifespan by 16% in wild type animals, 28% in a daf-2 background and 12% in daf-2/daf-16 double mutants.	pro		16	RNA interference	
426	174841	mcm-2	yeast MCM (licensing factor) related	Caenorhabditis elegans	Cel.16967	Y17G7B.5			increase	RNA interference in adulthood resulted in a 15% mean lifespan extension.	anti		15	RNA interference	
426	174841	mcm-2	yeast MCM (licensing factor) related	Caenorhabditis elegans	Cel.16967	Y17G7B.5			decrease	RNAi let to a 33% decrease in median lifespan in daf-2 background and a 14% decrease in lifespan in a wild-type background.	pro		14	RNA interference	
2033	179041	mdh-1	Malate DeHydrogenase	Caenorhabditis elegans	23462				increase	RNA interference of mdh-1 results in an increased lifespan.	anti		4.1	RNA interference	
428	175936	mdh-2	Malate DeHydrogenase	Caenorhabditis elegans	Cel.5076	F20H11.3			decrease	RNA interference decreased median lifespan by 10% in wild type animals and 16% in daf-2 mutants.	pro		10	RNA interference	
1907	180942	mdl-1	MAD-Like	Caenorhabditis elegans	.17925				increase	Daf-2 mutants display an upregulated MDL-1. Deletion of mdl-1 shortens lifespan of wild type worm (up to 16%). Moreover, deletion in long-lived daf-2 mutants shortens lifespan to an even higher degree (up to 32%) suggesting it contributes to the effects of daf-2 on lifespan. 	anti		16	Deletion	
2026	175817	mdt-15	Mediator of RNA polymerase II transcription subunit 15	Caenorhabditis elegans	.38778				decrease	RNA interference of mdt-15 results in a decreased lifespan. 	pro		34	RNA interference	
64	173960	mdt-26	Protein MDT-26	Caenorhabditis elegans	Cel.23108	C25H3.6			decrease	RNA interference decreased the median lifespan 42% in daf-2 long-lived mutants.	pro			RNA interference	
429	172771	mec-8	MEChanosensory abnormality	Caenorhabditis elegans	Cel.18412	F46A9.6			increase	Mutation extends lifespan.				Mutation	
731	174963	mecr-1	Protein MECR-1	Caenorhabditis elegans	Cel.14175	W09H1.5			increase	RNA interference extends lifespan.	anti			RNA interference	
2023	171872	mek-2	Dual specificity mitogen-activated protein kinase kinase mek-2	Caenorhabditis elegans	.19739				decrease	RNA interference of mek-2 results in a decrease in lifespan.	pro		10	RNA interference	
1772	175634	mel-28	Protein MEL-28	Caenorhabditis elegans					increase	Post-developmental RNAi of mel-28 extends lifespan of wild type worms.	anti	8.7	6.5	Post-developmental RNA interference	
2221	179163	memo-1	MEdiator of cell MOtility 1 homolog	Caenorhabditis elegans					increase	Worms with a deletion mutation in memo-1 demonstrated up to a 38% increase in mean lifespan compared to the control worms at 25 degrees celcius. The lifespan increase was 30% at 20 degrees celcius. 	anti		38	Mutation	
431	178074	mep-1	Mog interacting, Ectopic P granules	Caenorhabditis elegans	Cel.16881	M04B2.1			decrease	RNA interference results in a 39% decrease in median lifespan in daf-2 mutants,  14% decrease in lifespan in daf-2/daf-16 double mutants and 8% decrease in median lifespan in a wild-type background.	pro		8	RNA interference	
434	181362	mes-1	Maternal Effect Sterile	Caenorhabditis elegans	Cel.6122	F54F7.5			increase	Mutation animals that lack germ cells live about 60% longer than controls.	anti		60	Mutation	
2057	175096	mes-2	Histone-lysine N-methyltransferase mes-2	Caenorhabditis elegans	19654				increase	RNA inteference of mes-2 results in an incrased lifespan of up to 6%, depending on temperature.	anti		6	RNA interference	
2147	176183	met-2	Histone-lysine N-methyltransferase met-2	Caenorhabditis elegans					decrease	Met-2 downregulation in worms shortened median lifespan by 23%. Downregulation of met-2 partially suppressed lifespan extension as a consequence of cco-1 downregulation. When met-2 was downregulated along with atfs-1 it restored the lifespan of cco-1 RNAi treated animals back to the level of the wild type. 	pro		23	RNA interference	
435	260040	mev-1	Abnormal MEthyl Viologen sensitivity	Caenorhabditis elegans	Cel.6305	T07C4.7			decrease	Mutants are hypersensitive to raised oxygen concentrations and their lifespan decreases dramatically as oxygen concentrations increase.				Mutation	
435	260040	mev-1	Abnormal MEthyl Viologen sensitivity	Caenorhabditis elegans	Cel.6305	T07C4.7			decrease	Worm mutants had a decreased lifespan.	pro			Mutation	
1750	174752	mfn-1	Protein MFN-1	Caenorhabditis elegans					increase	Reduction of mitoferrin through RNAi results in small body size, reduced fecundity, slow movement and increased sensitivity to paraquat, but also in an increased lifespan of 50% to 80% compared to the N2 wild type worms strain.	anti	77	64	RNA interference	
2011	179475	mics-1	MItoChondrial Scaffolding protei	Caenorhabditis elegans	.4990				increase	RNA interference (or mutations) of mics-1 results in mutants with enhanced longevity when compated to HT115 wild-type controls (mean lifespan up to 54% higher). Additionally, termal stress of mics-1 mutants display lower reactive oxygen species production. 	anti		54	RNA interference	
2164	3565990	mir-124	mir-124	Caenorhabditis elegans					increase	Worms overexpressing the miRNA, miR-124 demonstrated an increase in mean lifespan (17%) when compared to the WT.	pro		16	Overexpression	
2168	3564977	mir-238	mir-238	Caenorhabditis elegans					increase	Mir-239.1 loss of function mutant worms demonstrated a 20% increase in lifespan. In contrast worms overexpressing mir-246 showed an 2% decrease in mean lifespan.	anti		20	Mutation	
2169	3565806	mir-238	mir-238	Caenorhabditis elegans					decrease	Mir-238 loss of function mutant worms demonstrated a 19% decrease in lifespan. In addition mir-238 was found to be highly upregulated during ageing. 	pro		19	Mutation	
2167	3565660	mir-246	mir-246	Caenorhabditis elegans					decrease	Mir-246 loss of function mutant worms demonstrated a 10% decrease in lifespan. In contrast worms overexpressing mir-246 showed an 3% increase in mean lifespan. In addition mir-246 was found to be highly upregulated during ageing. 	pro		10	Mutation	
2165	260162	mir-34	mir-34	Caenorhabditis elegans					increase	Mir-34 loss of function mutant worms showed a 62% increase in mean lifespan. The worms also demonstrated a 47% increase in fast pharyngeal pumping and a 78% increase in fast moving span. Maximum lifespan was increased compared to wild type worms. 	anti	80	62	Mutation	
